Common-Name	Pathway	Pathway_parent_1	Pathway_parent_2	Pathway_parent_3	Pathway_parent_4	Pathway_parent_5	Pathway_parent_6	Pathway_parent_7
4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate degradation	PWY-6507	Sugar-Derivatives	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
4-hydroxyphenylacetate degradation	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS	
4-methylcatechol degradation (<i>ortho</i> cleavage)	PWY-6185	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS	
5-aminoimidazole ribonucleotide biosynthesis I	PWY-6121	AIR-Biosynthesis	PUR-NUC-SYN	Nucleotide-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
5-aminoimidazole ribonucleotide biosynthesis II	PWY-6122	AIR-Biosynthesis	PUR-NUC-SYN	Nucleotide-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	PWY-6147	6-HM-Dihydropterin-PP-Biosynthesis	Other-biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	PWY-7539	6-HM-Dihydropterin-PP-Biosynthesis	Other-biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
8-amino-7-oxononanoate biosynthesis I	PWY-6519	7-Keto-8-aminopelargonate-Biosynthesis	Other-biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
acetyl-CoA fermentation to butanoate	PWY-5676	Acetyl-CoA-Butyrate // Super-Pathways	Fermentation-to-Acids // Pathways	Fermentation // Generalized-Reactions	Energy-Metabolism // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
acetylene degradation (anaerobic)	P161-PWY	Acetate-Formation // Pyruvate-Ethanol-Fermentation	Fermentation-to-Acids // Alcohol-Biosynthesis // Pyruvate-Degradation	Fermentation	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES
adenine and adenosine salvage III	PWY-6609	Adenine-Adenosine-Salvage	Purine-Nucleotides-Salvage	PUR-NUC-SYN	Nucleotide-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II	PWY-7220	Adenosine-Deoxy-Denovo-Bbiosynthesis	Purine-Deoxyribonuc-De-Novo-Biosynthesis	Deoxyribonucleotide-Biosynthesis // Purine-Nucleotide-De-Novo-Biosynthesis	Nucleotide-Biosynthesis // PUR-NUC-SYN	Biosynthesis // Nucleotide-Biosynthesis	Pathways // Biosynthesis	Generalized-Reactions // Pathways
adenosine nucleotides degradation II	SALVADEHYPOX-PWY	Adenosine-Nucleotides-Degradation	Purine-Degradation	NUCLEO-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
adenosine ribonucleotides <i>de novo</i> biosynthesis	PWY-7219	Purine-Ribonuc-De-Novo-Biosynthesis	Purine-Nucleotide-De-Novo-Biosynthesis	PUR-NUC-SYN	Nucleotide-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I	PWY-5509	Adenosylcobamide-Biosynthesis	Cobamide-De-Novo-Biosynthesis	Cobalamin-Biosynthesis	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways
adenosylcobalamin biosynthesis I (anaerobic)	PWY-5507	De-Novo-Adenosylcobalamin-Biosynthesis // Super-Pathways	Adenosylcobamide-Biosynthesis // Pathways	Cobamide-De-Novo-Biosynthesis // Generalized-Reactions	Cobalamin-Biosynthesis // FRAMES	Enzyme-Cofactor-Biosynthesis // THINGS	Cofactor-Biosynthesis // 	Biosynthesis // 
adenosylcobalamin biosynthesis II (aerobic)	P381-PWY	De-Novo-Adenosylcobalamin-Biosynthesis // Super-Pathways	Adenosylcobamide-Biosynthesis // Pathways	Cobamide-De-Novo-Biosynthesis // Generalized-Reactions	Cobalamin-Biosynthesis // FRAMES	Enzyme-Cofactor-Biosynthesis // THINGS	Cofactor-Biosynthesis // 	Biosynthesis // 
ADP-L-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose biosynthesis	PWY0-1241	ADP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
aerobactin biosynthesis	AEROBACTINSYN-PWY	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
aerobic respiration I (cytochrome c)	PWY-3781	AEROBIC-RESPIRATION // Electron-Transfer	Respiration // Energy-Metabolism	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 
allantoin degradation IV (anaerobic)	PWY0-41	Allantoin-degradation // Super-Pathways	AMINE-DEG // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
allantoin degradation to glyoxylate III	PWY-5705	Allantoin-degradation // Super-Pathways	AMINE-DEG // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
androstenedione degradation I (aerobic)	PWY-6944	Androstenedione-Degradation	Steroids-Degradation	Fatty-Acid-and-Lipid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
aromatic biogenic amine degradation (bacteria)	PWY-7431	AMINE-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS	
aromatic compounds degradation via &beta;-ketoadipate	PWY-5431	Catechol-Degradation // Super-Pathways	AROMATIC-COMPOUNDS-DEGRADATION // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
aspartate superpathway	PWY0-781	Super-Pathways	Pathways	Generalized-Reactions	FRAMES	THINGS		
assimilatory sulfate reduction I	SO4ASSIM-PWY	Assimilatory-Sulfate-Reduction // Super-Pathways	Sulfur-Metabolism // Pathways	Noncarbon-Nutrients // Generalized-Reactions	Degradation // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
benzoyl-CoA degradation I (aerobic)	PWY-1361	Benzoyl-CoA-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
&beta;-(1,4)-mannan degradation	PWY-7456	Glycan-Pathways // POLYSACCHARIDES-DEG	Pathways // Carbohydrates-Degradation // Polymer-Degradation	Generalized-Reactions // Degradation	FRAMES // Pathways	THINGS // Generalized-Reactions	 // FRAMES	 // THINGS
&beta;-alanine biosynthesis II	PWY-3941	Beta-Alanine-Biosynthesis	Other-Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
Bifidobacterium shunt	P124-PWY	Acetate-Formation // Fermentation-to-Lactate // Sugars-And-Polysaccharides-Degradation	Fermentation-to-Acids // Carbohydrates-Degradation	Fermentation // Degradation	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS
biotin biosynthesis I	BIOTIN-BIOSYNTHESIS-PWY	BIOTIN-SYN // Super-Pathways	Enzyme-Cofactor-Biosynthesis // Pathways	Cofactor-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
biotin biosynthesis II	PWY-5005	BIOTIN-SYN // Super-Pathways	Enzyme-Cofactor-Biosynthesis // Pathways	Cofactor-Biosynthesis // Generalized-Reactions	Biosynthesis // FRAMES	Pathways // THINGS	Generalized-Reactions // 	FRAMES // 
Calvin-Benson-Bassham cycle	CALVIN-PWY	Autotrophic-CO2-Fixation // CARBO-BIOSYNTHESIS	CO2-Fixation // Carbohydrates-Biosynthesis	C1-COMPOUNDS // Biosynthesis	Degradation // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS
catechol degradation I (<I>meta</I>-cleavage pathway)	PWY-5415	Catechol-Degradation // Super-Pathways	AROMATIC-COMPOUNDS-DEGRADATION // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
catechol degradation II (<I>meta</I>-cleavage pathway)	PWY-5420	Catechol-Degradation // Super-Pathways	AROMATIC-COMPOUNDS-DEGRADATION // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
catechol degradation III (ortho-cleavage pathway)	PWY-5417	Catechol-Degradation // Super-Pathways	AROMATIC-COMPOUNDS-DEGRADATION // Pathways	Degradation // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
catechol degradation to 2-hydroxypentadienoate II	PWY-5419	Catechol-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
catechol degradation to &beta;-ketoadipate	CATECHOL-ORTHO-CLEAVAGE-PWY	Catechol-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
CDP-diacylglycerol biosynthesis I	PWY-5667	CDP-diacylglycerol-Biosynthesis	Phospholipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
CDP-diacylglycerol biosynthesis II	PWY0-1319	CDP-diacylglycerol-Biosynthesis	Phospholipid-Biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
chitin derivatives degradation	PWY-6906	Sugar-Derivatives	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
chlorosalicylate degradation	PWY-6107	Chloroaromatic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
chondroitin sulfate degradation I (bacterial)	PWY-6572	Glycosaminoglycan-Degradation	POLYSACCHARIDES-DEG	Carbohydrates-Degradation // Polymer-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
chorismate biosynthesis from 3-dehydroquinate	PWY-6163	Chorismate-Biosynthesis	Carboxylate-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
chorismate biosynthesis I	ARO-PWY	Chorismate-Biosynthesis // Super-Pathways	Carboxylate-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
chorismate biosynthesis II (archaea)	PWY-6165	Chorismate-Biosynthesis // Super-Pathways	Carboxylate-Biosynthesis // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	PWY-6690	Phenolic-Compounds-Degradation	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
<i>cis</i>-vaccenate biosynthesis	PWY-5973	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	PWY-1269	CMP-KDO-Biosynthesis	CMP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways
CMP-legionaminate biosynthesis I	PWY-6749	CMP-Legionaminate-Biosynthesis	CMP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways
CMP-pseudaminate biosynthesis	PWY-6143	CMP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)	PWY-7377	Cobyrinate-diamide-Biosynthesis	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	PWY-7376	Cobyrinate-diamide-Biosynthesis	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
coenzyme A biosynthesis I (bacteria)	COA-PWY	CoA-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
coenzyme M biosynthesis I	P261-PWY	Coenzyme-M-Biosynthesis	C1-Carrier-Biosynthesis	Carriers-Biosynthesis	Cofactor-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
colanic acid building blocks biosynthesis	COLANSYN-PWY	Carbohydrates-Biosynthesis // Super-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
coumarins biosynthesis (engineered)	PWY-7398	COUMARIN-SYN	PHENYLPROPANOID-SYN	AROMATIC-COMPOUNDS-BIOSYN	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
creatinine degradation I	CRNFORCAT-PWY	Creatinine-Degradation	AMINE-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
creatinine degradation II	PWY-4722	Creatinine-Degradation	AMINE-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
D-fructuronate degradation	PWY-7242	SUGAR-ACIDS-DEG	CARBOXYLATES-DEG // Sugars-And-Polysaccharides-Degradation	Degradation // Carbohydrates-Degradation	Pathways // Degradation	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions	THINGS // FRAMES
D-galactarate degradation I	GALACTARDEG-PWY	D-Galactarate-Degradation	Aldaric-Acid-Degradation	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
D-galactose degradation I (Leloir pathway)	PWY-6317	GALACTOSE-DEGRADATION	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES
D-galacturonate degradation I	GALACTUROCAT-PWY	D-Galacturonate-Degradation	SUGAR-ACIDS-DEG	CARBOXYLATES-DEG // Sugars-And-Polysaccharides-Degradation	Degradation // Carbohydrates-Degradation	Pathways // Degradation	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
D-galacturonate degradation II	PWY-6486	D-Galacturonate-Degradation	SUGAR-ACIDS-DEG	CARBOXYLATES-DEG // Sugars-And-Polysaccharides-Degradation	Degradation // Carbohydrates-Degradation	Pathways // Degradation	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions
<i>D</i>-glucarate degradation I	GLUCARDEG-PWY	D-Glucarate-Degradation	Aldaric-Acid-Degradation	CARBOXYLATES-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES
dTDP-&beta;-L-rhamnose biosynthesis	DTDPRHAMSYN-PWY	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
dTDP-<i>N</i>-acetylthomosamine biosynthesis	PWY-7315	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
ectoine biosynthesis	P101-PWY	Polyamine-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS	
enterobacterial common antigen biosynthesis	ECASYN-PWY	Polysaccharides-Biosynthesis	Carbohydrates-Biosynthesis // Glycan-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 
enterobactin biosynthesis	ENTBACSYN-PWY	Siderophores-Biosynthesis // Super-Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Pathways	Biosynthesis // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
Entner-Doudoroff pathway III (semi-phosphorylative)	PWY-2221	Entner-Duodoroff-Pathways // Sugars-And-Polysaccharides-Degradation	Energy-Metabolism // Carbohydrates-Degradation	Pathways // Degradation	Generalized-Reactions // Pathways	FRAMES // Generalized-Reactions	THINGS // FRAMES	 // THINGS
ergothioneine biosynthesis I (bacteria)	PWY-7255	Ergothioneine-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
ethylmalonyl-CoA pathway	PWY-5741	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS		
fatty acid &beta;-oxidation I (generic)	FAO-PWY	Fatty-Acid-Degradation	Fatty-Acid-and-Lipid-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
fatty acid elongation -- saturated	FASYN-ELONG-PWY	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
fatty acid salvage	PWY-7094	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES	THINGS
flavin biosynthesis I (bacteria and plants)	RIBOSYN2-PWY	Flavin-Biosynthesis	Electron-Carrier-Biosynthesis // Enzyme-Cofactor-Biosynthesis	Carriers-Biosynthesis // Cofactor-Biosynthesis	Cofactor-Biosynthesis // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES
folate transformations III (<i>E. coli</i>)	1CMET2-PWY	Folate-Transformations	Folate-Biosynthesis	C1-Carrier-Biosynthesis // Vitamin-Biosynthesis	Carriers-Biosynthesis // Cofactor-Biosynthesis	Cofactor-Biosynthesis // Biosynthesis	Biosynthesis // Pathways	Pathways // Generalized-Reactions
formaldehyde assimilation I (serine pathway)	PWY-1622	Formaldehyde-Assimilation	C1-COMPOUNDS	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
formaldehyde assimilation II (assimilatory RuMP Cycle)	PWY-1861	Formaldehyde-Assimilation	C1-COMPOUNDS	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
formaldehyde oxidation I	RUMP-PWY	Energy-Metabolism // Formaldehyde-Oxidation	Pathways // C1-COMPOUNDS	Generalized-Reactions // Degradation	FRAMES // Pathways	THINGS // Generalized-Reactions	 // FRAMES	 // THINGS
gallate degradation I	GALLATE-DEGRADATION-II-PWY	GALLATE-DEG	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
gallate degradation II	GALLATE-DEGRADATION-I-PWY	GALLATE-DEG	AROMATIC-COMPOUNDS-DEGRADATION	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
GDP-D-<i>glycero</i>-&alpha;-D-<i>manno</i>-heptose biosynthesis	PWY-6478	GDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
GDP-mannose biosynthesis	PWY-5659	GDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions
gluconeogenesis I	GLUCONEO-PWY	Gluconeogenesis	CARBO-BIOSYNTHESIS	Carbohydrates-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
glucose and glucose-1-phosphate degradation	GLUCOSE1PMETAB-PWY	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
glucose degradation (oxidative)	DHGLUCONATE-PYR-CAT-PWY	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
glycerol degradation to butanol	PWY-7003	Alcohol-Biosynthesis // Super-Pathways	Fermentation // Pathways	Energy-Metabolism // Generalized-Reactions	Pathways // FRAMES	Generalized-Reactions // THINGS	FRAMES // 	THINGS // 
glycine betaine degradation I	PWY-3661	Glycine-Betaine-Degradation	AMINE-DEG	Degradation	Pathways	Generalized-Reactions	FRAMES	THINGS
glycogen biosynthesis I (from ADP-D-Glucose)	GLYCOGENSYNTH-PWY	GLYCOGEN-BIOSYN	Polysaccharides-Biosynthesis	Carbohydrates-Biosynthesis // Glycan-Pathways	Biosynthesis // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS
glycogen degradation I	GLYCOCAT-PWY	Glycan-Pathways // Glycogen-Degradation	Pathways // POLYSACCHARIDES-DEG	Generalized-Reactions // Carbohydrates-Degradation // Polymer-Degradation	FRAMES // Degradation	THINGS // Pathways	 // Generalized-Reactions	 // FRAMES
glycogen degradation II	PWY-5941	Glycan-Pathways // Glycogen-Degradation	Pathways // POLYSACCHARIDES-DEG	Generalized-Reactions // Carbohydrates-Degradation // Polymer-Degradation	FRAMES // Degradation	THINGS // Pathways	 // Generalized-Reactions	 // FRAMES
glycolysis I (from glucose 6-phosphate) // Glycolysis	GLYCOLYSIS // GLYCOLYSIS-VARIANTS	GLYCOLYSIS-VARIANTS // Energy-Metabolism	Energy-Metabolism // Pathways	Pathways // Generalized-Reactions	Generalized-Reactions // FRAMES	FRAMES // THINGS	THINGS // 	
glycolysis II (from fructose 6-phosphate)	PWY-5484	GLYCOLYSIS-VARIANTS	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS	
glycolysis III (from glucose)	ANAGLYCOLYSIS-PWY	GLYCOLYSIS-VARIANTS	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS	
glycolysis V (Pyrococcus)	P341-PWY	GLYCOLYSIS-VARIANTS	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS	
glyoxylate cycle	GLYOXYLATE-BYPASS	Energy-Metabolism	Pathways	Generalized-Reactions	FRAMES	THINGS		
gondoate biosynthesis (anaerobic)	PWY-7663	Unsaturated-Fatty-Acids-Biosynthesis	Fatty-acid-biosynthesis	Lipid-Biosynthesis	Biosynthesis	Pathways	Generalized-Reactions	FRAMES
